outputscale,omega,lml
-4.302500000000000213e+00,-6.000000000000000000e+00,-4.205621613503011475e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-4.205551906265355835e+11
-4.257500000000000284e+00,-6.000000000000000000e+00,-4.205484416448602295e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-4.205418929662359009e+11
-4.212500000000000355e+00,-6.000000000000000000e+00,-4.205355311308261719e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-4.205293365108291016e+11
-4.167500000000000426e+00,-6.000000000000000000e+00,-4.205232852737910156e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-4.205173669559913330e+11
-4.122500000000000497e+00,-6.000000000000000000e+00,-4.205115730849871826e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-4.205058769751446533e+11
-4.077499999999999680e+00,-6.000000000000000000e+00,-4.205002764000836792e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-4.204947361671268311e+11
-4.032499999999999751e+00,-6.000000000000000000e+00,-4.204892645887414551e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-4.204838235954301758e+11
-3.987499999999999822e+00,-6.000000000000000000e+00,-4.204784168926037598e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-4.204730340594995728e+11
-3.942499999999999893e+00,-6.000000000000000000e+00,-4.204676444614602051e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-4.204622331646580200e+11
-3.897499999999999964e+00,-6.000000000000000000e+00,-4.204567948752696533e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-4.204513149412121582e+11
-3.852500000000000036e+00,-6.000000000000000000e+00,-4.204457732313371582e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-4.204401654298418579e+11
-3.807500000000000107e+00,-6.000000000000000000e+00,-4.204344519406866455e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-4.204286669149436646e+11
-3.762500000000000178e+00,-6.000000000000000000e+00,-4.204227258940108032e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-4.204166788488237915e+11
-3.717500000000000249e+00,-6.000000000000000000e+00,-4.204104668169058228e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-4.204040898896832275e+11
-3.672500000000000320e+00,-6.000000000000000000e+00,-4.203975244003143921e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-4.203907780512470703e+11
-3.627499999999999947e+00,-6.000000000000000000e+00,-4.203837765028251343e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-4.203765427758864746e+11
-3.582500000000000018e+00,-6.000000000000000000e+00,-4.203690650002359619e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-4.203613055780821533e+11
-3.537500000000000089e+00,-6.000000000000000000e+00,-4.203532439642590942e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-4.203448702632307129e+11
-3.492500000000000160e+00,-6.000000000000000000e+00,-4.203361309541801758e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-4.203270722467432861e+11
-3.447499999999999787e+00,-6.000000000000000000e+00,-4.203175661047191162e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-4.203076847703882446e+11
-3.402499999999999858e+00,-6.000000000000000000e+00,-4.202973465065244141e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-4.202865093573438721e+11
-3.357499999999999929e+00,-6.000000000000000000e+00,-4.202752083717349854e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-4.202633624139454956e+11
-3.312500000000000000e+00,-6.000000000000000000e+00,-4.202509768128906860e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-4.202379909109603882e+11
-3.267500000000000071e+00,-6.000000000000000000e+00,-4.202243770952476807e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-4.202100957680220947e+11
-3.222500000000000142e+00,-6.000000000000000000e+00,-4.201950995046096802e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-4.201794055674822998e+11
-3.177500000000000213e+00,-6.000000000000000000e+00,-4.201629659267904053e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-4.201455448571818848e+11
-3.132500000000000284e+00,-6.000000000000000000e+00,-4.201273899300748291e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-4.201082720915042114e+11
-3.087500000000000355e+00,-6.000000000000000000e+00,-4.200881852172940674e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-4.200670864936406860e+11
-3.042499999999999982e+00,-6.000000000000000000e+00,-4.200448113343140869e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-4.200215736619283447e+11
-2.997500000000000053e+00,-6.000000000000000000e+00,-4.199970157546108398e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-4.199712004395703125e+11
-2.952500000000000124e+00,-6.000000000000000000e+00,-4.199440338890773315e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-4.199155540165590820e+11
-2.907500000000000195e+00,-6.000000000000000000e+00,-4.198855473225152588e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-4.198540113190831909e+11
-2.862500000000000266e+00,-6.000000000000000000e+00,-4.198209204718201904e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-4.197859767007876587e+11
-2.817499999999999893e+00,-6.000000000000000000e+00,-4.197491887973494873e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-4.197106147755124512e+11
-2.772499999999999964e+00,-6.000000000000000000e+00,-4.196699100034074097e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-4.196272569418104858e+11
-2.727500000000000036e+00,-6.000000000000000000e+00,-4.195822554798735962e+11
-2.705000000000000071e+00,-6.000000000000000000e+00,-4.195348040808636475e+11
-2.682500000000000107e+00,-6.000000000000000000e+00,-4.194850490851959229e+11
-2.660000000000000142e+00,-6.000000000000000000e+00,-4.194327932164171143e+11
-2.637500000000000178e+00,-6.000000000000000000e+00,-4.193777391744962769e+11
-2.615000000000000213e+00,-6.000000000000000000e+00,-4.193198201759744873e+11
-2.592500000000000249e+00,-6.000000000000000000e+00,-4.192590077715293579e+11
-2.570000000000000284e+00,-6.000000000000000000e+00,-4.191947600065845337e+11
-2.547499999999999876e+00,-6.000000000000000000e+00,-4.191275424780610962e+11
-2.524999999999999911e+00,-6.000000000000000000e+00,-4.190566617607114868e+11
-2.502499999999999947e+00,-6.000000000000000000e+00,-4.189820316176016235e+11
-2.479999999999999982e+00,-6.000000000000000000e+00,-4.189036455936511841e+11
-2.457500000000000018e+00,-6.000000000000000000e+00,-4.188210243275050049e+11
-2.435000000000000053e+00,-6.000000000000000000e+00,-4.187344197409122314e+11
