problem,Dx,N_over_Dx,noise,model,RRMSE_median,RRMSE_std,NIS_median,NIS_std
borehole,8,5,0.002,tabpfn_v2,0.0647127307080157,0.01095369155972832,0.3445432961571806,0.05107337173773909
borehole,8,5,0.08,tabpfn_v2,0.1315661812344957,0.018512134612336733,0.6470057330378207,0.12995949011058083
buckling,4,20,0.002,tabpfn_v2,0.20464034654960955,0.24515389090277764,0.4755187104286799,0.15174602523927636
buckling,4,20,0.08,tabpfn_v2,0.3816055460249961,0.1620290962050767,1.2849213950099552,0.22114365672654998
buckling,4,5,0.002,tabpfn_v2,0.2856785201945664,0.1366810580556893,1.5238306633426162,0.26720445169517865
buckling,4,5,0.08,tabpfn_v2,0.42263339701598346,0.13567556392271454,1.9024199415195246,0.31792145146950646
dixon_price,40,20,0.002,tabpfn_v2,0.4023303674493463,0.014526344620454918,1.9251549939873476,0.05833889501544108
dixon_price,40,20,0.08,tabpfn_v2,0.4101885464992836,0.011602716519359919,1.9612717774029969,0.049257511024350935
dixon_price,40,5,0.002,tabpfn_v2,0.7894499368649277,0.04291901105694101,3.755872527246829,0.2737256305143861
dixon_price,40,5,0.08,tabpfn_v2,0.8056829715993177,0.043479413125544875,3.7925013193951598,0.2901727052151615
griewank,20,20,0.002,tabpfn_v2,0.37406860922925034,0.028354906959792352,1.9940462221548707,0.07844398073723494
griewank,20,20,0.08,tabpfn_v2,0.37337941188848334,0.028194920968309906,2.0166633413852253,0.09155470857540875
griewank,20,5,0.002,tabpfn_v2,0.9051296234944151,0.03677810371584059,4.320876908501436,0.19478159762274724
griewank,20,5,0.08,tabpfn_v2,0.9109541732008134,0.038794617019446205,4.354396839036732,0.21396539473107853
rosenbrock,80,20,0.002,tabpfn_v2,0.5159590314427994,0.018966384853095646,2.4546199748781103,0.0646848657141612
rosenbrock,80,20,0.08,tabpfn_v2,0.5166047429005918,0.019018874497280902,2.448109824676707,0.06766504991027675
rosenbrock,80,5,0.002,tabpfn_v2,0.7139635284108297,0.013004643042098208,3.374222050074276,0.07194457547511367
rosenbrock,80,5,0.08,tabpfn_v2,0.7146177568989462,0.013432186097874858,3.388229349059655,0.07180076074351746
wing,10,20,0.002,tabpfn_v2,0.03515312150624291,0.015529446679822702,0.16559300860983,0.01537646995096966
wing,10,20,0.08,tabpfn_v2,0.09397514512308933,0.002477442728852636,0.44235276417970515,0.009161980817990223
wing,10,5,0.002,tabpfn_v2,0.0853098204114695,0.014592323167910717,0.46145713891314577,0.05450299535996444
wing,10,5,0.08,tabpfn_v2,0.12885551647418703,0.010906088818994013,0.630134754171559,0.06048062679440036
zakharov,20,20,0.002,tabpfn_v2,0.14857788834214813,0.04530007024692876,0.4528819020994067,0.05350278798823739
zakharov,20,20,0.08,tabpfn_v2,0.1878363151698893,0.07106621903152534,0.8446153882153248,0.05341403907634328
zakharov,20,5,0.002,tabpfn_v2,0.22064300951231405,0.08324568287551207,1.0894665118163207,0.15545597206333997
zakharov,20,5,0.08,tabpfn_v2,0.2721778237231138,0.08175799274146725,1.6527874082679728,0.1884397066433063
ackley,20,20,0.002,gpytorch,0.24701371212115109,0.006781513862007157,1.239247465074669,0.02713586709957856
ackley,20,20,0.08,gpytorch,0.2694098955424041,0.005732075665533938,1.334981948426118,0.03912462874167084
ackley,20,5,0.002,gpytorch,0.462205342865892,0.03771093889968174,2.5270992993522334,0.2657165874640328
ackley,20,5,0.08,gpytorch,0.4822785177799189,0.032415765784595596,2.659923970982433,0.2266338294934623
ackley,40,20,0.002,gpytorch,1.0002514429061198,0.0006731083098834996,4.770528347466238,0.025788728658415545
ackley,40,20,0.08,gpytorch,1.0002197641081683,0.0006262097860245581,4.769627137280561,0.022066380742236155
ackley,40,5,0.002,gpytorch,1.0019333257655512,0.002644357571357312,4.756253772400486,0.07320006643428892
ackley,40,5,0.08,gpytorch,1.001846700739153,0.002523405125004001,4.754779348300939,0.07402815443331794
borehole,8,20,0.002,gpytorch,0.007601100417831476,0.0011961100600134194,0.055905577102465125,0.005274041215010897
borehole,8,20,0.08,gpytorch,0.09269639819458526,0.0025074466319130544,0.4349178535419075,0.011834958594036809
borehole,8,5,0.002,gpytorch,0.03485551661187265,0.006982873437147576,0.17170133377633046,0.04858147214342211
borehole,8,5,0.08,gpytorch,0.14994014569405123,0.032867168556772214,1.0248688948480567,0.5389374772233246
buckling,4,20,0.002,gpytorch,0.26071053235441605,0.07774126120790982,1.400933643966733,0.6689191324037362
buckling,4,20,0.08,gpytorch,0.3336907166916433,0.09561881924511853,1.8642778950059151,0.9232243864500049
buckling,4,5,0.002,gpytorch,0.7083999892745081,0.13839482001874392,7.728078363973646,1.6023503862648196
buckling,4,5,0.08,gpytorch,0.7624871824227152,0.14958152198918667,8.681194775764862,1.6249840114548117
dixon_price,40,20,0.002,gpytorch,1.0004394683037297,0.0006059192791371138,4.710664644221087,0.016245333543948644
dixon_price,40,20,0.08,gpytorch,1.0003975123209998,0.0006548950164952126,4.713517477613099,0.015494628244294619
