outputscale,omega,lml
-3.200000000000000178e+00,-6.000000000000000000e+00,-2.571789030571313171e+11
-3.177500000000000213e+00,-6.000000000000000000e+00,-2.571053670192423401e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-2.570280622758233948e+11
-3.132500000000000284e+00,-6.000000000000000000e+00,-2.569468116046019592e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-2.568613728033614197e+11
-3.087500000000000355e+00,-6.000000000000000000e+00,-2.567715620048229980e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-2.566771151203725891e+11
-3.042499999999999982e+00,-6.000000000000000000e+00,-2.565778527779480591e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-2.564735104645333252e+11
-2.997500000000000053e+00,-6.000000000000000000e+00,-2.563638188241375732e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-2.562485554020775757e+11
-2.952500000000000124e+00,-6.000000000000000000e+00,-2.561273162387070312e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-2.560000938150130005e+11
-2.907500000000000195e+00,-6.000000000000000000e+00,-2.558663654797130737e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-2.557258181925787048e+11
-2.862500000000000266e+00,-6.000000000000000000e+00,-2.555781720378385620e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-2.554231101337561646e+11
-2.817499999999999893e+00,-6.000000000000000000e+00,-2.552603065234037476e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-2.550892843829016724e+11
-2.772499999999999964e+00,-6.000000000000000000e+00,-2.549097426417576294e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-2.547212607029846497e+11
-2.727500000000000036e+00,-6.000000000000000000e+00,-2.545233698354663391e+11
-2.705000000000000071e+00,-6.000000000000000000e+00,-2.543157690613199463e+11
-2.682500000000000107e+00,-6.000000000000000000e+00,-2.540979464359183960e+11
-2.660000000000000142e+00,-6.000000000000000000e+00,-2.538693363315282898e+11
-2.637500000000000178e+00,-6.000000000000000000e+00,-2.536297241404828186e+11
